"任务或算法","是否已有本地脚本","是否已有外部源码","是否有示例数据","是否有完整流程","是否需要补封装","推荐优先级","状态标记","库内路径"
"CTD/SwissTargetPrediction/GeneCards/OMIM靶点收集","是","否","否","半流程","否","中","已有本地脚本","C:/Users/fsy/Desktop/原始代码/按分析用途分类/01_网络药理学与靶点数据库"
"GO/KEGG富集分析","是","否","否","是","可补GSEA/Reactome","高","已有本地脚本","C:/Users/fsy/Desktop/原始代码/按分析用途分类/02_GO_KEGG富集分析/007_GO_KEGG_富集分析.R"
"GEO表达矩阵整理和limma差异分析","是","否","否","是","可补DESeq2/edgeR","高","已有本地脚本","C:/Users/fsy/Desktop/原始代码/按分析用途分类/03_GEO转录组整理与差异分析"
"多队列合并和批次校正","是","否","否","是","可补sva/ComBat参数模板","高","已有本地脚本","C:/Users/fsy/Desktop/原始代码/按分析用途分类/03_GEO转录组整理与差异分析/056_GEO_多队列合并_批次校正.R"
"LASSO/SVM-RFE/RandomForest单算法筛选","是","否","否","是","否","中","已有但分散","C:/Users/fsy/Desktop/原始代码/按分析用途分类/04_机器学习筛选特征基因/012_LASSO_特征基因筛选.R; C:/Users/fsy/Desktop/原始代码/按分析用途分类/04_机器学习筛选特征基因/013_SVM_RFE_特征基因筛选.R; C:/Users/fsy/Desktop/原始代码/按分析用途分类/04_机器学习筛选特征基因/014_RandomForest_特征基因筛选.R"
"多算法机器学习和SHAP","是","否","否","是","可统一配置文件","高","已有多个版本","C:/Users/fsy/Desktop/原始代码/按分析用途分类/04_机器学习筛选特征基因/034_12种机器学习_特征基因筛选.R; C:/Users/fsy/Desktop/原始代码/按分析用途分类/04_机器学习筛选特征基因/052_SHAP_机器学习解释分析.R; C:/Users/fsy/Desktop/原始代码/按分析用途分类/04_机器学习筛选特征基因/059_双疾病_15种机器学习175组合.R"
"GEO诊断模型验证","是","否","否","是","否","高","已有本地脚本","C:/Users/fsy/Desktop/原始代码/按分析用途分类/05_诊断模型与验证"
"CIBERSORT类免疫浸润","是","否","否","是","可补xCell/ssGSEA/MCP-counter","高","已有但来源函数重复","C:/Users/fsy/Desktop/原始代码/按分析用途分类/06_免疫浸润与免疫可视化"
"WGCNA共表达网络","是","否","否","是","否","高","已有本地脚本","C:/Users/fsy/Desktop/原始代码/按分析用途分类/11_WGCNA共表达网络/054_WGCNA_无符号共表达网络.R"
"Seurat单细胞QC聚类注释","是","否","部分教程结果","是","可统一参数和输出目录","高","已有多个版本","C:/Users/fsy/Desktop/原始代码/按分析用途分类/08_单细胞_空间转录组_细胞轨迹"
"CellChat细胞通讯","是","否","否","是","可接NicheNet","高","已有本地脚本","C:/Users/fsy/Desktop/原始代码/按分析用途分类/08_单细胞_空间转录组_细胞轨迹/051_单细胞_CellChat细胞通讯.R"
"NicheNet/MultiNicheNet","否","是","外部包示例","否","是","高","源码已收集但未流程化","C:/Users/fsy/Desktop/原始代码/按分析用途分类/18_外部方法源码_待整合/02_配体-靶基因通信模型"
"Monocle3/scTour/CellRank轨迹命运","是","部分","scTour教程结果","半流程","可做一致性wrapper","高","已有但分散","C:/Users/fsy/Desktop/原始代码/按分析用途分类/08_单细胞_空间转录组_细胞轨迹/062_scTour_拟时序向量场教程.py; C:/Users/fsy/Desktop/原始代码/按分析用途分类/16_空间通讯_细胞命运/072_CellRank_命运概率与驱动基因.py"
"Slingshot/Palantir/CytoTRACE2/tradeSeq","否","是","外部包示例","否","是","中","源码已收集但未流程化","C:/Users/fsy/Desktop/原始代码/按分析用途分类/18_外部方法源码_待整合/07_替代轨迹_分化潜能"
"Seurat空间转录组","是","否","否","是","可接去卷积","高","已有本地脚本","C:/Users/fsy/Desktop/原始代码/按分析用途分类/08_单细胞_空间转录组_细胞轨迹/027_空间转录组_Seurat自动分析.R; C:/Users/fsy/Desktop/原始代码/按分析用途分类/08_单细胞_空间转录组_细胞轨迹/050_空间转录组_聚类注释_轨迹.R"
"Tangram/COMMOT/decoupler","是","部分","否","wrapper","是","高","本地wrapper已有","C:/Users/fsy/Desktop/原始代码/按分析用途分类/16_空间通讯_细胞命运"
"cell2location/RCTD/BayesSpace/SpaGCN/Squidpy/stLearn","否","是","外部包示例","否","是","高","源码已收集但未流程化","C:/Users/fsy/Desktop/原始代码/按分析用途分类/18_外部方法源码_待整合/05_空间去卷积_空间邻域"
"scTenifoldKnk/scFOCAL/scPerturb/GEARS/CellOracle","是","部分","否","wrapper","是","高","已有但分散","C:/Users/fsy/Desktop/原始代码/按分析用途分类/14_单细胞虚拟扰动_扰动数据库; C:/Users/fsy/Desktop/原始代码/按分析用途分类/08_单细胞_空间转录组_细胞轨迹/026_单细胞_Seurat全流程_scTenifoldKnk敲除.R"
"Squidiff/PerturbDiff扩散模型","否","是","外部包示例","否","是","高","源码已收集但未流程化","C:/Users/fsy/Desktop/原始代码/按分析用途分类/18_外部方法源码_待整合/01_扩散模型_单细胞生成模型"
