"阶段","产物","类型","库内路径","说明"
"第1阶段","workflow_geo_diagnosis.md","workflow文档","C:/Users/fsy/Desktop/原始代码/方法指南_2026-05-24/workflows/workflow_geo_diagnosis.md","GEO诊断路线运行顺序和输入输出规范"
"第1阶段","workflow_singlecell_mechanism.md","workflow文档","C:/Users/fsy/Desktop/原始代码/方法指南_2026-05-24/workflows/workflow_singlecell_mechanism.md","单细胞注释、CellChat、Scissor、轨迹、扰动和空间路线"
"第1阶段","workflow_mr_coloc_twas.md","workflow文档","C:/Users/fsy/Desktop/原始代码/方法指南_2026-05-24/workflows/workflow_mr_coloc_twas.md","MR、coloc、TWAS、pQTL/MVMR证据链"
"第1阶段","AI_新课题优先阅读指南_2026-05-24.md","入口文档","C:/Users/fsy/Desktop/原始代码/AI_新课题优先阅读指南_2026-05-24.md","未来AI和新课题优先阅读入口"
"第2阶段","077_NicheNet_配体靶基因通信推断.R","R wrapper","C:/Users/fsy/Desktop/原始代码/按分析用途分类/16_空间通讯_细胞命运/077_NicheNet_配体靶基因通信推断.R","CellChat/COMMOT之后的ligand-target机制深化"
"第2阶段","078_FAERS_ROR_PRR_BCPNN_EBGM药物警戒.R","R wrapper","C:/Users/fsy/Desktop/原始代码/按分析用途分类/15_药物扰动_药物重定位/078_FAERS_ROR_PRR_BCPNN_EBGM药物警戒.R","FAERS不成比例报告信号"
"第2阶段","079_pQTL_MVMR_蛋白中介MR.R","R wrapper","C:/Users/fsy/Desktop/原始代码/按分析用途分类/09_孟德尔随机化_GWAS处理/079_pQTL_MVMR_蛋白中介MR.R","MVMR和两步中介MR入口"
"第2阶段","080_cell2location_Squidpy_空间生态位.py","Python wrapper","C:/Users/fsy/Desktop/原始代码/按分析用途分类/16_空间通讯_细胞命运/080_cell2location_Squidpy_空间生态位.py","空间细胞丰度和Squidpy邻域富集"
"第2阶段","081_pySCENIC_Regulon_TF活性.py","Python wrapper","C:/Users/fsy/Desktop/原始代码/按分析用途分类/13_转录因子调控_基因组圈图/081_pySCENIC_Regulon_TF活性.py","pySCENIC grn/ctx/aucell命令封装"
"第3阶段","082_轨迹多算法一致性_Slingshot_tradeSeq_CytoTRACE2.R","R wrapper","C:/Users/fsy/Desktop/原始代码/按分析用途分类/08_单细胞_空间转录组_细胞轨迹/082_轨迹多算法一致性_Slingshot_tradeSeq_CytoTRACE2.R","Slingshot、tradeSeq、CytoTRACE2一致性"
"第3阶段","082_Palantir_轨迹分支概率.py","Python wrapper","C:/Users/fsy/Desktop/原始代码/按分析用途分类/08_单细胞_空间转录组_细胞轨迹/082_Palantir_轨迹分支概率.py","Palantir pseudotime和branch probabilities"
"第3阶段","083_MOFA_DIABLO_多组学潜变量整合.R","R wrapper","C:/Users/fsy/Desktop/原始代码/按分析用途分类/19_多组学整合_分型模板/083_MOFA_DIABLO_多组学潜变量整合.R","MOFA2和mixOmics/DIABLO入口"
"第3阶段","084_NMF_ConsensusClusterPlus_共浸润分型.R","R wrapper","C:/Users/fsy/Desktop/原始代码/按分析用途分类/19_多组学整合_分型模板/084_NMF_ConsensusClusterPlus_共浸润分型.R","NMF和共识聚类分型"
"第3阶段","085_Squidiff_扩散模型单细胞扰动预测.py","Python wrapper","C:/Users/fsy/Desktop/原始代码/按分析用途分类/14_单细胞虚拟扰动_扰动数据库/085_Squidiff_扩散模型单细胞扰动预测.py","外部Squidiff/PerturbDiff训练和采样命令封装"
"第3阶段","086_Vina_GROMACS_MMPBSA_MDAnalysis_对接动力学自动化.py","Python wrapper","C:/Users/fsy/Desktop/原始代码/按分析用途分类/07_分子对接与结合能可视化/086_Vina_GROMACS_MMPBSA_MDAnalysis_对接动力学自动化.py","对接、MM/PBSA和MDAnalysis入口"
"第4阶段","mutation_maftools_pipeline.R","R模板","C:/Users/fsy/Desktop/原始代码/按分析用途分类/20_突变_CNV_甲基化_蛋白组_代谢组模板/mutation_maftools_pipeline.R","MAF突变汇总和oncoplot"
"第4阶段","cnv_gistic_or_cnvkit_pipeline.md","说明模板","C:/Users/fsy/Desktop/原始代码/按分析用途分类/20_突变_CNV_甲基化_蛋白组_代谢组模板/cnv_gistic_or_cnvkit_pipeline.md","CNV工具路线和标准输出"
"第4阶段","methylation_minfi_champ_pipeline.R","R模板","C:/Users/fsy/Desktop/原始代码/按分析用途分类/20_突变_CNV_甲基化_蛋白组_代谢组模板/methylation_minfi_champ_pipeline.R","beta矩阵差异甲基化入口"
"第4阶段","proteomics_limma_msstats_pipeline.R","R模板","C:/Users/fsy/Desktop/原始代码/按分析用途分类/20_突变_CNV_甲基化_蛋白组_代谢组模板/proteomics_limma_msstats_pipeline.R","蛋白矩阵差异分析入口"
"第4阶段","metabolomics_metaboanalystR_pipeline.R","R模板","C:/Users/fsy/Desktop/原始代码/按分析用途分类/20_突变_CNV_甲基化_蛋白组_代谢组模板/metabolomics_metaboanalystR_pipeline.R","代谢物矩阵差异分析入口"
